Request ID,Department,Request Type,Priority,Status,Ward,Date Opened,Date Closed,Resolution Days,Resolved Within Target,Citizen Satisfaction,Assigned Team,Latitude,Longitude,Estimated Cost,Channel,Weather,Year,Month,Quarter,Priority Score,Resolution Category,Cost Category,Request Age
MSR-01278,Water Services,Low Water Pressure,Medium,Closed,Ward 9,2024-07-05,2024-07-10,5.0,Yes,3.7,Team H,43.863267,-79.634357,50.0,Phone,Rain,2024,July,Q3,2,Average,Low,744
MSR-04195,Public Works,Pothole,High,In Progress,Ward 3,2025-05-05,,,,,Team H,43.85563,-79.439632,1222.4,Walk-in,Extreme Cold,2025,May,Q2,3,Open,Medium,440
MSR-06912,By-law Enforcement,Noise Complaint,Medium,In Progress,Ward 5,2024-12-06,,,,,Team B,43.810832,-79.542826,1502.33,Web,Cloudy,2024,December,Q4,2,Open,High,590
MSR-04839,By-law Enforcement,Property Standards,High,In Progress,Ward 6,2024-09-04,,,,,Team C,43.827421,-79.532662,1138.72,Email,Rain,2024,September,Q3,3,Open,Medium,683
MSR-08196,Public Works,Graffiti,Low,Closed,Ward 9,2025-05-30,2025-06-07,8.0,Yes,5.0,Team G,43.859496,-79.420699,50.0,Phone,Clear,2025,May,Q2,1,Slow,Low,415
MSR-02484,Water Services,Water Quality,Medium,Closed,Ward 4,2025-01-04,2025-01-14,10.0,Yes,4.3,Team B,43.793379,-79.478355,236.84,Email,Snow,2025,January,Q1,2,Slow,Low,561
MSR-08689,Parks and Recreation,Trail Issue,Low,Closed,Ward 1,2025-04-27,2025-05-12,15.0,Yes,3.9,Team B,43.847377,-79.654249,633.0,Web,Rain,2025,April,Q2,1,Slow,Medium,448
MSR-08807,Water Services,Sewer Backup,High,Closed,Ward 5,2024-10-11,2024-10-17,6.0,No,2.9,Team G,43.820679,-79.613324,722.86,Email,Cloudy,2024,October,Q4,3,Average,Medium,646
MSR-00961,Parks and Recreation,Trail Issue,Low,In Progress,Ward 3,2025-11-15,,,,,Team H,43.789058,-79.45144,1126.07,Phone,Snow,2025,November,Q4,1,Open,Medium,246
MSR-04905,Transportation Services,Road Sign Damage,Low,Closed,Ward 4,2025-12-17,2025-12-27,10.0,Yes,5.0,Team G,43.768928,-79.666162,118.0,Email,Cloudy,2025,December,Q4,1,Slow,Low,214
MSR-06838,By-law Enforcement,Animal Control,Medium,Closed,Ward 2,2025-02-22,2025-03-01,7.0,Yes,3.8,Team H,43.875095,-79.459373,1703.29,Web,Clear,2025,February,Q1,2,Average,High,512
MSR-01717,Transportation Services,Road Sign Damage,Low,In Progress,Ward 8,2025-09-22,,,,,Team H,43.825359,-79.653869,79.02,Phone,Snow,2025,September,Q3,1,Open,Low,300
MSR-07930,By-law Enforcement,Parking Violation,High,Closed,Ward 8,2024-08-03,2024-08-08,5.0,Yes,4.3,Team B,43.760639,-79.495761,783.87,Phone,Snow,2024,August,Q3,3,Average,Medium,715
MSR-04923,Transportation Services,Road Sign Damage,High,Closed,Ward 9,2024-06-23,2024-06-27,4.0,Yes,3.5,Team B,43.862419,-79.569604,679.34,Phone,Extreme Cold,2024,June,Q2,3,Average,Medium,756
MSR-05570,Water Services,Sewer Backup,Medium,Open,Ward 9,2024-05-30,,,,,Team G,43.857429,-79.601811,397.7,Email,Cloudy,2024,May,Q2,2,Open,Low,780
MSR-05839,Transportation Services,Traffic Signal Issue,High,In Progress,Ward 1,2025-05-20,,,,,Team C,43.838267,-79.619879,302.09,Phone,Rain,2025,May,Q2,3,Open,Low,425
MSR-08021,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 3,2025-09-11,2025-09-20,9.0,Yes,4.7,Team H,43.854788,-79.422977,1342.53,Email,Extreme Cold,2025,September,Q3,2,Slow,Medium,311
MSR-03671,Water Services,Low Water Pressure,Medium,Closed,Ward 4,2024-06-13,2024-06-25,12.0,No,2.6,Team C,43.814795,-79.492625,1244.55,Web,Snow,2024,June,Q2,2,Slow,Medium,766
MSR-00252,Parks and Recreation,Tree Damage,Critical,Open,Ward 3,2024-02-13,,,,,Team G,43.82774,-79.423047,107.6,Phone,Rain,2024,February,Q1,4,Open,Low,887
MSR-06283,Parks and Recreation,Tree Damage,Critical,Closed,Ward 6,2024-10-09,2024-10-10,1.0,Yes,3.6,Team D,43.87746,-79.478835,700.14,Email,Snow,2024,October,Q4,4,Fast,Medium,648
MSR-02214,Public Works,Road Damage,Medium,Closed,Ward 4,2024-03-12,2024-03-22,10.0,Yes,3.8,Unassigned,43.897258,-79.457727,821.41,Mobile App,Clear,2024,March,Q1,2,Slow,Medium,859
MSR-01902,Transportation Services,Road Sign Damage,High,Closed,Ward 4,2024-10-26,2024-10-30,4.0,Yes,4.7,Team A,43.917435,-79.500711,434.19,Mobile App,Snow,2024,October,Q4,3,Average,Low,631
MSR-07271,Transportation Services,Streetlight Outage,Medium,Closed,Ward 10,2025-01-18,2025-01-28,10.0,Yes,4.1,Team A,43.766517,-79.54506,1386.78,Walk-in,Clear,2025,January,Q1,2,Slow,Medium,547
MSR-09573,Parks and Recreation,Playground Repair,Medium,Open,Ward 10,2024-02-21,,,,,Team G,43.769082,-79.467777,1073.75,Mobile App,Rain,2024,February,Q1,2,Open,Medium,879
MSR-03217,Waste Management,Damaged Bin,Medium,Closed,Ward 8,2025-07-18,2025-07-18,0.0,Yes,3.4,Team E,43.887734,-79.609351,1274.24,Email,Snow,2025,July,Q3,2,Fast,Medium,366
MSR-00250,By-law Enforcement,Parking Violation,Medium,Open,Ward 9,2025-03-04,,,,,Team H,43.9145,-79.501362,594.56,Walk-in,Rain,2025,March,Q1,2,Open,Medium,502
MSR-01170,Waste Management,Damaged Bin,Low,In Progress,Ward 7,2025-08-15,,,,,Team B,43.806026,-79.615252,1000.55,Email,Snow,2025,August,Q3,1,Open,Medium,338
MSR-04636,Waste Management,Recycling Issue,Medium,Closed,Ward 4,2025-09-05,2025-09-12,7.0,Yes,4.4,Team E,43.801732,-79.452899,573.22,Email,Cloudy,2025,September,Q3,2,Average,Medium,317
MSR-01476,Waste Management,Recycling Issue,Low,Closed,Ward 5,2024-05-14,2024-05-29,15.0,Yes,4.9,Team A,43.833352,-79.433898,1066.17,Web,Cloudy,2024,May,Q2,1,Slow,Medium,796
MSR-00690,Public Works,Graffiti,Medium,In Progress,Ward 3,2025-05-06,,,,,Team B,43.839649,-79.501868,1027.67,Email,Clear,2025,May,Q2,2,Open,Medium,439
MSR-06812,By-law Enforcement,Noise Complaint,Medium,Open,Ward 5,2025-02-11,,,,,Team C,43.873042,-79.512566,1131.74,Phone,Extreme Cold,2025,February,Q1,2,Open,Medium,523
MSR-01856,Parks and Recreation,Park Maintenance,Low,Open,Ward 2,2024-02-08,,,,,Team B,43.906875,-79.550178,382.75,Email,Clear,2024,February,Q1,1,Open,Low,892
MSR-01929,Public Works,Pothole,Medium,Open,Ward 3,2025-03-05,,,,,Team D,43.761426,-79.548981,1218.59,Mobile App,Cloudy,2025,March,Q1,2,Open,Medium,501
MSR-00534,Public Works,Road Damage,Medium,Closed,Ward 5,2024-10-21,2024-10-27,6.0,Yes,4.1,Team D,43.829009,-79.626282,261.42,Mobile App,Rain,2024,October,Q4,2,Average,Low,636
MSR-09149,Waste Management,Illegal Dumping,High,Closed,Ward 1,2024-11-11,2024-11-17,6.0,No,3.5,Team A,43.898963,-79.660127,871.76,Phone,Rain,2024,November,Q4,3,Average,Medium,615
MSR-02231,Transportation Services,Streetlight Outage,Medium,Closed,Ward 4,2024-10-07,2024-10-08,1.0,Yes,3.5,Team A,43.903127,-79.554783,349.23,Email,Clear,2024,October,Q4,2,Fast,Low,650
MSR-01259,Parks and Recreation,Playground Repair,Low,Closed,Ward 6,2024-07-10,2024-07-15,5.0,Yes,4.0,Team C,43.918301,-79.554341,1321.82,Walk-in,Rain,2024,July,Q3,1,Average,Medium,739
MSR-03148,Transportation Services,Snow Clearing,Low,In Progress,Ward 8,2024-05-13,,,,,Team C,43.844476,-79.496239,2932.62,Email,Cloudy,2024,May,Q2,1,Open,High,797
MSR-05135,Parks and Recreation,Trail Issue,Medium,Closed,Ward 7,2024-11-25,2024-11-27,2.0,Yes,5.0,Team H,43.835735,-79.650023,88.2,Phone,Extreme Cold,2024,November,Q4,2,Fast,Low,601
MSR-00193,Water Services,Low Water Pressure,Medium,Closed,Ward 2,2025-03-24,2025-03-30,6.0,Yes,3.3,Team F,43.770748,-79.668382,818.71,Web,Rain,2025,March,Q1,2,Average,Medium,482
MSR-08494,Waste Management,Recycling Issue,Medium,Closed,Ward 10,2024-01-29,2024-02-04,6.0,Yes,4.4,Team E,43.876281,-79.47751,750.1,Walk-in,Rain,2024,January,Q1,2,Average,Medium,902
MSR-09233,Water Services,Low Water Pressure,Medium,Closed,Ward 2,2024-11-05,2024-11-13,8.0,Yes,4.0,Team E,43.777106,-79.615111,410.98,Email,Clear,2024,November,Q4,2,Slow,Low,621
MSR-03313,Public Works,Road Damage,Critical,Closed,Ward 8,2024-11-12,2024-11-13,1.0,Yes,4.4,Team B,43.780983,-79.624747,1316.75,Email,Clear,2024,November,Q4,4,Fast,Medium,614
MSR-03140,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 3,2024-12-25,2024-12-25,0.0,Yes,4.3,Team C,43.846083,-79.648119,1027.22,Walk-in,Extreme Cold,2024,December,Q4,2,Fast,Medium,571
MSR-08219,Waste Management,Illegal Dumping,High,Closed,Ward 2,2025-11-21,2025-11-25,4.0,Yes,4.0,Team G,43.766662,-79.482511,50.0,Phone,Clear,2025,November,Q4,3,Average,Low,240
MSR-07189,Water Services,Low Water Pressure,Medium,Closed,Ward 6,2024-05-21,2024-06-02,12.0,No,3.8,Team D,43.871008,-79.453143,373.3,Walk-in,Cloudy,2024,May,Q2,2,Slow,Low,789
MSR-09914,Parks and Recreation,Tree Damage,Low,Closed,Ward 1,2025-06-04,2025-06-15,11.0,Yes,3.8,Team B,43.839107,-79.440223,167.26,Mobile App,Cloudy,2025,June,Q2,1,Slow,Low,410
MSR-06990,Waste Management,Recycling Issue,High,Closed,Ward 5,2024-09-30,2024-10-02,2.0,Yes,4.0,Team E,43.914517,-79.542815,512.82,Walk-in,Clear,2024,September,Q3,3,Fast,Medium,657
MSR-02134,Public Works,Road Damage,Medium,Open,Ward 10,2025-04-09,,,,,Team B,43.775995,-79.438474,779.31,Email,Clear,2025,April,Q2,2,Open,Medium,466
MSR-00007,Waste Management,Recycling Issue,Medium,Closed,Ward 10,2024-11-18,2024-11-25,7.0,Yes,4.9,Team E,43.901549,-79.512859,1055.14,Walk-in,Cloudy,2024,November,Q4,2,Average,Medium,608
MSR-04584,Public Works,Sidewalk Repair,Medium,Closed,Ward 10,2025-09-01,2025-09-02,1.0,Yes,5.0,Team G,43.844706,-79.59062,795.46,Web,Rain,2025,September,Q3,2,Fast,Medium,321
MSR-05793,By-law Enforcement,Animal Control,Medium,Closed,Ward 6,2025-08-06,2025-08-06,0.0,Yes,3.9,Team E,43.870581,-79.499673,1440.49,Web,Snow,2025,August,Q3,2,Fast,Medium,347
MSR-03501,Public Works,Pothole,High,In Progress,Ward 8,2024-10-03,,,,,Team C,43.883434,-79.593435,1263.88,Walk-in,Cloudy,2024,October,Q4,3,Open,Medium,654
MSR-04373,Water Services,Sewer Backup,Low,Closed,Ward 7,2024-06-14,2024-06-27,13.0,Yes,3.6,Team D,43.8281,-79.476069,712.36,Phone,Rain,2024,June,Q2,1,Slow,Medium,765
MSR-09534,Water Services,Water Leak,High,Closed,Ward 9,2025-10-16,2025-10-21,5.0,Yes,5.0,Team E,43.795407,-79.676726,165.57,Email,Snow,2025,October,Q4,3,Average,Low,276
MSR-06327,Transportation Services,Road Sign Damage,High,Closed,Ward 2,2025-04-04,2025-04-09,5.0,Yes,3.7,Team G,43.820377,-79.603282,453.12,Email,Clear,2025,April,Q2,3,Average,Low,471
MSR-07425,Transportation Services,Road Sign Damage,Medium,Closed,Ward 7,2024-12-17,2024-12-27,10.0,Yes,3.9,Team F,43.798297,-79.66827,929.73,Mobile App,Rain,2024,December,Q4,2,Slow,Medium,579
MSR-01308,Public Works,Sidewalk Repair,Medium,Closed,Ward 9,2024-03-10,2024-03-14,4.0,Yes,4.5,Team E,43.871989,-79.496048,152.66,Walk-in,Clear,2024,March,Q1,2,Average,Low,861
MSR-04110,Waste Management,Missed Collection,Medium,Closed,Ward 3,2024-08-23,2024-08-31,8.0,Yes,4.1,Team H,43.845988,-79.444429,852.13,Email,Snow,2024,August,Q3,2,Slow,Medium,695
MSR-07335,Transportation Services,Traffic Signal Issue,Medium,Closed,Ward 2,2024-04-29,2024-05-03,4.0,Yes,4.8,Unassigned,43.766829,-79.524064,381.19,Phone,Extreme Cold,2024,April,Q2,2,Average,Low,811
MSR-06916,By-law Enforcement,Noise Complaint,High,Closed,Ward 10,2025-09-10,2025-09-14,4.0,Yes,4.1,Team A,43.906394,-79.458167,496.49,Email,Extreme Cold,2025,September,Q3,3,Average,Low,312
MSR-01251,By-law Enforcement,Parking Violation,Medium,Closed,Ward 10,2025-12-09,2025-12-15,6.0,Yes,5.0,Team B,43.863739,-79.602484,50.0,Web,Snow,2025,December,Q4,2,Average,Low,222
MSR-01087,Water Services,Water Leak,Low,Closed,Ward 1,2025-06-02,2025-06-06,4.0,Yes,4.4,Team A,43.834109,-79.498746,50.0,Mobile App,Extreme Cold,2025,June,Q2,1,Average,Low,412
MSR-04645,Public Works,Pothole,Low,Closed,Ward 1,2024-12-26,2025-01-09,14.0,Yes,3.6,Team A,43.80244,-79.420433,407.92,Mobile App,Cloudy,2024,December,Q4,1,Slow,Low,570
MSR-09875,Parks and Recreation,Park Maintenance,Low,In Progress,Ward 7,2024-09-09,,,,,Team H,43.841886,-79.635773,1429.26,Email,Clear,2024,September,Q3,1,Open,Medium,678
MSR-07248,By-law Enforcement,Noise Complaint,Low,Closed,Ward 4,2024-03-27,2024-04-01,5.0,Yes,5.0,Team H,43.913925,-79.549278,821.36,Web,Snow,2024,March,Q1,1,Average,Medium,844
MSR-07832,Water Services,Water Leak,Medium,Closed,Ward 8,2025-12-16,2025-12-25,9.0,Yes,5.0,Team D,43.876599,-79.506145,1279.76,Email,Clear,2025,December,Q4,2,Slow,Medium,215
MSR-05394,Transportation Services,Streetlight Outage,High,Closed,Ward 4,2024-07-08,2024-07-11,3.0,Yes,3.5,Team H,43.841831,-79.445722,159.08,Walk-in,Extreme Cold,2024,July,Q3,3,Fast,Low,741
MSR-05020,By-law Enforcement,Animal Control,High,Closed,Ward 1,2024-12-02,2024-12-05,3.0,Yes,5.0,Team C,43.791151,-79.665424,210.9,Mobile App,Clear,2024,December,Q4,3,Fast,Low,594
MSR-01494,Parks and Recreation,Trail Issue,Medium,Closed,Ward 7,2024-11-01,2024-11-10,9.0,Yes,4.4,Team E,43.853256,-79.541982,675.77,Walk-in,Extreme Cold,2024,November,Q4,2,Slow,Medium,625
MSR-02252,Parks and Recreation,Park Maintenance,Medium,Closed,Ward 3,2025-08-14,2025-08-21,7.0,Yes,5.0,Team H,43.919076,-79.534759,660.73,Phone,Rain,2025,August,Q3,2,Average,Medium,339
MSR-07472,Water Services,Sewer Backup,Low,In Progress,Ward 7,2025-03-28,,,,,Team A,43.821406,-79.467091,834.64,Mobile App,Cloudy,2025,March,Q1,1,Open,Medium,478
MSR-01792,Transportation Services,Streetlight Outage,Low,In Progress,Ward 10,2024-01-29,,,,,Team B,43.861126,-79.593228,882.1,Walk-in,Extreme Cold,2024,January,Q1,1,Open,Medium,902
MSR-08124,Parks and Recreation,Park Maintenance,Medium,Closed,Ward 8,2024-05-21,2024-05-26,5.0,Yes,5.0,Team B,43.862541,-79.588682,957.29,Walk-in,Snow,2024,May,Q2,2,Average,Medium,789
MSR-07569,Public Works,Road Damage,High,Open,Ward 4,2025-08-25,,,,,Team E,43.762539,-79.543246,301.5,Phone,Extreme Cold,2025,August,Q3,3,Open,Low,328
MSR-00141,Water Services,Water Leak,Medium,Closed,Ward 7,2025-08-20,2025-08-24,4.0,Yes,5.0,Team D,43.899536,-79.516392,463.34,Web,Extreme Cold,2025,August,Q3,2,Average,Low,333
MSR-04243,Transportation Services,Traffic Signal Issue,Low,Open,Ward 9,2024-08-23,,,,,Team F,43.892163,-79.444482,844.13,Phone,Rain,2024,August,Q3,1,Open,Medium,695
MSR-07676,Transportation Services,Traffic Signal Issue,Medium,In Progress,Ward 8,2024-12-29,,,,,Team A,43.870448,-79.504945,1755.13,Web,Cloudy,2024,December,Q4,2,Open,High,567
MSR-09411,By-law Enforcement,Parking Violation,Medium,Closed,Ward 6,2025-01-01,2025-01-08,7.0,Yes,4.1,Team H,43.890694,-79.630053,2291.41,Phone,Extreme Cold,2025,January,Q1,2,Average,High,564
MSR-08490,Parks and Recreation,Tree Damage,Low,Open,Ward 1,2025-10-04,,,,,Team A,43.884928,-79.532811,519.17,Web,Rain,2025,October,Q4,1,Open,Medium,288
MSR-04357,By-law Enforcement,Parking Violation,Critical,Closed,Ward 10,2025-04-20,2025-04-23,3.0,No,1.9,Team D,43.905288,-79.58225,653.17,Phone,Extreme Cold,2025,April,Q2,4,Fast,Medium,455
MSR-04267,By-law Enforcement,Noise Complaint,Low,Closed,Ward 6,2024-07-03,2024-07-08,5.0,Yes,4.0,Team G,43.809862,-79.629126,504.9,Web,Snow,2024,July,Q3,1,Average,Medium,746
MSR-06980,Parks and Recreation,Playground Repair,Medium,Closed,Ward 10,2025-11-29,2025-12-05,6.0,Yes,3.4,Team F,43.896421,-79.527441,443.51,Web,Cloudy,2025,November,Q4,2,Average,Low,232
MSR-09884,Waste Management,Illegal Dumping,Medium,In Progress,Ward 7,2025-11-24,,,,,Team B,43.764861,-79.590702,1199.95,Web,Extreme Cold,2025,November,Q4,2,Open,Medium,237
MSR-06517,Public Works,Pothole,High,Closed,Ward 9,2025-10-18,2025-10-20,2.0,Yes,3.6,Team E,43.782761,-79.571934,674.83,Phone,Snow,2025,October,Q4,3,Fast,Medium,274
MSR-00482,Public Works,Sidewalk Repair,Medium,Closed,Ward 6,2024-07-07,2024-07-10,3.0,Yes,4.4,Team C,43.866489,-79.425714,1753.23,Mobile App,Cloudy,2024,July,Q3,2,Fast,High,742
MSR-01503,Parks and Recreation,Park Maintenance,Low,Closed,Ward 7,2024-06-16,2024-06-29,13.0,Yes,3.0,Team D,43.90937,-79.456973,1187.1,Walk-in,Extreme Cold,2024,June,Q2,1,Slow,Medium,763
MSR-07648,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 8,2025-06-23,2025-06-28,5.0,Yes,2.6,Team H,43.849358,-79.436358,1194.48,Phone,Snow,2025,June,Q2,2,Average,Medium,391
MSR-05008,Waste Management,Damaged Bin,Medium,Closed,Ward 1,2025-03-29,2025-04-04,6.0,Yes,4.5,Team C,43.828196,-79.446782,377.73,Email,Clear,2025,March,Q1,2,Average,Low,477
MSR-01970,Transportation Services,Traffic Signal Issue,High,Closed,Ward 2,2024-06-26,2024-06-27,1.0,Yes,4.1,Team H,43.801206,-79.649183,705.11,Email,Rain,2024,June,Q2,3,Fast,Medium,753
MSR-00330,Water Services,Sewer Backup,Medium,In Progress,Ward 7,2024-07-27,,,,,Team H,43.826117,-79.476215,1569.93,Phone,Snow,2024,July,Q3,2,Open,High,722
MSR-01184,Public Works,Graffiti,Low,Closed,Ward 10,2025-04-05,2025-04-11,6.0,Yes,4.3,Team B,43.907771,-79.520939,684.58,Mobile App,Extreme Cold,2025,April,Q2,1,Average,Medium,470
MSR-06270,By-law Enforcement,Property Standards,Medium,Closed,Ward 3,2024-10-23,2024-10-31,8.0,Yes,4.2,Team A,43.899183,-79.580102,1419.23,Walk-in,Snow,2024,October,Q4,2,Slow,Medium,634
MSR-05649,Parks and Recreation,Park Maintenance,Medium,Closed,Ward 2,2024-06-22,2024-06-30,8.0,Yes,4.1,Team A,43.913676,-79.437706,1331.33,Web,Cloudy,2024,June,Q2,2,Slow,Medium,757
MSR-00803,Public Works,Sidewalk Repair,Medium,In Progress,Ward 4,2025-07-13,,,,,Team B,43.801643,-79.520682,50.0,Email,Rain,2025,July,Q3,2,Open,Low,371
MSR-04803,Waste Management,Damaged Bin,Medium,Closed,Ward 8,2024-02-16,2024-02-22,6.0,Yes,4.8,Team G,43.870766,-79.443677,58.15,Email,Rain,2024,February,Q1,2,Average,Low,884
MSR-07677,Water Services,Low Water Pressure,Low,Closed,Ward 3,2024-04-19,2024-05-09,20.0,No,2.9,Team B,43.863747,-79.600898,551.27,Web,Snow,2024,April,Q2,1,Slow,Medium,821
MSR-01400,Parks and Recreation,Park Maintenance,Low,Closed,Ward 4,2024-05-19,2024-05-27,8.0,Yes,4.0,Team H,43.903422,-79.593027,804.29,Mobile App,Extreme Cold,2024,May,Q2,1,Slow,Medium,791
MSR-07540,Waste Management,Illegal Dumping,Low,Closed,Ward 9,2025-03-02,2025-03-21,19.0,No,3.8,Team G,43.778192,-79.599993,1062.06,Mobile App,Snow,2025,March,Q1,1,Slow,Medium,504
MSR-05568,Water Services,Water Quality,Low,Closed,Ward 5,2024-12-11,2024-12-13,2.0,Yes,3.9,Team E,43.817491,-79.644463,1011.34,Phone,Clear,2024,December,Q4,1,Fast,Medium,585
MSR-03203,By-law Enforcement,Property Standards,Medium,Closed,Ward 10,2024-07-26,2024-08-09,14.0,No,3.2,Team A,43.867902,-79.633676,904.28,Mobile App,Cloudy,2024,July,Q3,2,Slow,Medium,723
MSR-00970,Water Services,Water Quality,Medium,Closed,Ward 6,2025-06-15,2025-06-20,5.0,Yes,4.0,Team C,43.828242,-79.673392,1893.77,Web,Rain,2025,June,Q2,2,Average,High,399
MSR-05393,Public Works,Sidewalk Repair,Medium,In Progress,Ward 5,2025-03-14,,,,,Team F,43.918647,-79.6567,233.65,Email,Rain,2025,March,Q1,2,Open,Low,492
MSR-02674,Parks and Recreation,Trail Issue,High,Closed,Ward 2,2024-12-18,2024-12-21,3.0,Yes,4.2,Team C,43.820697,-79.552674,913.48,Web,Snow,2024,December,Q4,3,Fast,Medium,578
MSR-07574,Parks and Recreation,Trail Issue,Medium,Open,Ward 3,2024-08-16,,,,,Team A,43.785549,-79.459249,531.62,Email,Snow,2024,August,Q3,2,Open,Medium,702
MSR-02278,Waste Management,Missed Collection,Medium,Closed,Ward 10,2025-03-15,2025-03-19,4.0,Yes,3.2,Team H,43.83207,-79.483355,1740.08,Mobile App,Cloudy,2025,March,Q1,2,Average,High,491
MSR-07263,Parks and Recreation,Trail Issue,Medium,Closed,Ward 8,2024-10-17,2024-10-24,7.0,Yes,4.0,Team C,43.859823,-79.564784,1456.15,Phone,Snow,2024,October,Q4,2,Average,Medium,640
MSR-03817,Waste Management,Recycling Issue,Medium,Closed,Ward 10,2025-08-01,2025-08-08,7.0,Yes,3.0,Team A,43.801591,-79.589145,755.97,Mobile App,Rain,2025,August,Q3,2,Average,Medium,352
MSR-07221,Parks and Recreation,Playground Repair,Low,Closed,Ward 1,2024-07-17,2024-07-19,2.0,Yes,3.0,Team D,43.786931,-79.597655,1779.27,Mobile App,Rain,2024,July,Q3,1,Fast,High,732
MSR-00370,Transportation Services,Snow Clearing,Low,Closed,Ward 9,2024-06-06,2024-06-17,11.0,Yes,3.6,Team B,43.862545,-79.651279,504.72,Web,Rain,2024,June,Q2,1,Slow,Medium,773
MSR-09603,Parks and Recreation,Park Maintenance,High,Closed,Ward 10,2024-03-24,2024-03-29,5.0,Yes,3.5,Team C,43.902215,-79.469598,1317.69,Mobile App,Snow,2024,March,Q1,3,Average,Medium,847
MSR-09531,By-law Enforcement,Noise Complaint,Low,Closed,Ward 1,2024-10-17,2024-10-21,4.0,Yes,4.1,Team F,43.901145,-79.534093,1024.66,Phone,Rain,2024,October,Q4,1,Average,Medium,640
MSR-01724,By-law Enforcement,Noise Complaint,Medium,Closed,Ward 2,2024-04-07,2024-04-18,11.0,No,2.2,Team G,43.801692,-79.493239,1877.93,Mobile App,Rain,2024,April,Q2,2,Slow,High,833
MSR-07740,Water Services,Water Leak,Low,Closed,Ward 2,2025-06-03,2025-06-12,9.0,Yes,3.8,Team A,43.787419,-79.506234,1155.51,Mobile App,Rain,2025,June,Q2,1,Slow,Medium,411
MSR-03359,Parks and Recreation,Trail Issue,High,Open,Ward 10,2024-07-25,,,,,Team D,43.843216,-79.421136,826.12,Web,Extreme Cold,2024,July,Q3,3,Open,Medium,724
MSR-02235,Parks and Recreation,Playground Repair,Medium,Closed,Ward 1,2024-12-03,2024-12-17,14.0,No,3.0,Team B,43.822309,-79.666065,1084.31,Web,Clear,2024,December,Q4,2,Slow,Medium,593
MSR-09556,Water Services,Sewer Backup,High,Closed,Ward 6,2025-12-19,2025-12-24,5.0,Yes,4.3,Team H,43.868265,-79.482933,719.48,Mobile App,Clear,2025,December,Q4,3,Average,Medium,212
